book_id|user_id|?column?|?column?
2767052|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
2|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
5470|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
41865|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
113436|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
227443|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
11870085|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
1|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
7260188|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
6442769|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
10917|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
7624|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
3|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
5139|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
3636|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
4981|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
18490|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
1381|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
13496|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
119322|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
11588|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
28187|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
320|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
929|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
12232938|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
428263|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
30119|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
15931|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
13335037|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
1202|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
5907|2|2022-06-23 23:40:44.099892+05:30|2022-06-23 23:40:44.099892+05:30
